Index,IssueAge,CTP,TBL1CTP,MTP,TBL1MTP
13410,25,,0.140000,3.960000,
13410,26,,0.150000,4.009000,
13410,27,,0.150000,4.060000,
13410,28,,0.160000,4.129000,
13410,29,,0.170000,4.189000,
13410,30,,0.180000,4.270000,
13410,31,,0.190000,4.369000,
13410,32,,0.210000,4.470000,
13410,33,,0.230000,4.590000,
13410,34,,0.250000,4.729000,
13410,35,,0.270000,4.870000,
13410,36,,0.290000,5.040000,
13410,37,,0.320000,5.209000,
13410,38,,0.350000,5.400000,
13410,39,,0.380000,5.590000,
13410,40,,0.420000,5.800000,
13410,41,,0.450000,6.049000,
13410,42,,0.500000,6.319000,
13410,43,,0.540000,6.610000,
13410,44,,0.590000,6.940000,
13410,45,,0.650000,7.450000,
13410,46,,0.710000,7.870000,
13410,47,,0.780000,8.350000,
13410,48,,0.850000,8.869000,
13410,49,,0.940000,9.450000,
13410,50,,1.040000,10.050000,
13410,51,,1.150000,10.710000,
13410,52,,1.270000,11.359000,
13410,53,,1.390000,12.049000,
13410,54,,1.530000,12.739000,
13410,55,,1.680000,13.399000,
13410,56,,1.840000,14.110000,
13410,57,,2.010000,14.830000,
13410,58,,2.200000,15.589000,
13410,59,,2.400000,16.320000,
13410,60,,2.620000,17.119000,
13410,61,,2.730000,18.210000,
13410,62,,2.850000,19.519000,
13410,63,,2.970000,21.229000,
13410,64,,3.100000,23.430000,
13410,65,,3.240000,26.230000,
13410,66,,3.540000,27.289000,
13410,67,,3.880000,28.530000,
13410,68,,4.260000,29.869000,
13410,69,,4.710000,31.500000,
13410,70,,5.210000,33.420000,
13410,71,,5.800000,35.580000,
13410,72,,6.480000,38.160000,
13410,73,,7.260000,41.209000,
13410,74,,8.150000,44.610000,
13410,75,,9.150000,48.670000,
13410,76,,10.290000,52.950000,
13410,77,,11.580000,58.099000,
13410,78,,13.000000,63.640000,
13410,79,,14.570000,69.979000,
13410,80,,16.290000,77.089000,
13411,0,,0.200000,2.530000,
13411,1,,0.080000,2.470000,
