idx	letter	header	formula	val_r12
232	HX	MTP Cov 2	=ROUND(CHOOSE(sTarget_SA_Basis,EQ12,EV12)*HP12/1000,2) + ROUND($FK12*HT12*CHOOSE(sTarget_SA_Basis,EQ12,EV12)/1000,2) + ROUND((12*TRUNC($FN12/12,2)+12*TRUNC($FO12/12,2))*CHOOSE(sTarget_SA_Basis,EQ12,EV12)/1000,2)	0
233	HY	MTP Cov 3	=ROUND(CHOOSE(sTarget_SA_Basis,ER12,EW12)*HQ12/1000,2) + ROUND($FK12*HU12*CHOOSE(sTarget_SA_Basis,ER12,EW12)/1000,2) + ROUND((12*TRUNC($FN12/12,2)+12*TRUNC($FO12/12,2))*CHOOSE(sTarget_SA_Basis,ER12,EW12)/1000,2)	0
234	HZ	MTP APB	=ROUND(CHOOSE(sTarget_SA_Basis,ES12,EX12)*HR12/1000,2) + ROUND($FK12*HV12*CHOOSE(sTarget_SA_Basis,ES12,EX12)/1000,2) + ROUND((12*TRUNC($FN12/12,2)+12*TRUNC($FO12/12,2))*CHOOSE(sTarget_SA_Basis,ES12,EX12)/1000,2)	0
235	IA	Rider MTP / MTP Rate 1	=PolicyRates!Q10	0
236	IB	MTP Rate 2	=PolicyRates!R10	0
237	IC	MTP Rate 3	=PolicyRates!S10	0
238	ID	MTP Rate 1 Tbl	=PolicyRates!T10	0
239	IE	MTP Rate 2 Tbl	=PolicyRates!U10	0
240	IF	MTP Rate 3 Tbl	=PolicyRates!V10	0
241	IG	MTP 1	=IF(GK12,ROUND(GP12*IA12/1000,2) + ROUND(GN12*ID12*GP12/1000,2) + ROUND(12*TRUNC(GO12/12,2)*GP12/1000,2),0)	0
242	IH	MTP 2	=IF(GS12,ROUND(GX12*IB12/1000,2) + ROUND(GV12*IE12*GX12/1000,2) + ROUND(12*TRUNC(GW12/12,2)*GX12/1000,2),0)	0
243	II	MTP 3	=IF(HA12,ROUND(HF12*IC12/1000,2) + ROUND(HD12*IF12*HF12/1000,2) + ROUND(12*TRUNC(HE12/12,2)*HF12/1000,2),0)	0
244	IJ	Benefits MTP / PWSTP / MTPR	=PolicyRates!W10	0
245	IK	MTP	=IF(vPWST_Active,IF(sblnFFL,JD12,vPWST_Units*IJ12*(1+sTableRatingFactor*FK12)),0)	0
246	IL	CCV / MTPR	=PolicyRates!Y10	0
247	IM	MTP	=IL12*vCurrentSA/1000	0
248	IN	CTR / MTPR	=PolicyRates!Z10	0
249	IO	MTP	=IF(vCTR_Active,vCTR_Units*IN12,0)	0
250	IP	GIR / MTPR	=PolicyRates!DG10	0
251	IQ	MTP	=IF(vGIR_Active,vGIR_Units*IP12,0)	0
252	IR	ADB / MTPR	=PolicyRates!X10	0
253	IS	MTP	=IF(vADB_Active,vADB_Units*IR12,0)	0
254	IT	PW39 / MTP w/o PW	=IS12+IQ12+IO12+IK12+IM12+IG12+IH12+II12+HW12+HX12+HY12+HZ12	154.75
255	IU	MTPR	=PolicyRates!DH10	0
256	IV	MTP	=IF(vPW_Active,IF(sblnFFL, JB12,IU12*IT12*(1+sTableRatingFactor*vTableCov1)),0)	0
257	IW	FFL Premium Waivers / vMin_Base	=IF(HJ12,SUMPRODUCT(PolicyRates!EH10:EJ10,EU12:EW12)/1000,IW11)	2.58475
258	IX	vMin_Base_Table	=SUMPRODUCT(PolicyRates!EH10:EJ10,FK12:FM12,EU12:EW12)*sTableRatingFactor/1000	0
259	IY	vMin_Base_Flat	=SUM(EU12:EW12)*(vFlat1)	0
260	IZ	vPWoC_MinBasis	=(IG12+IH12+II12+IO12+IQ12+IS12)/12+IW12+IX12+IY12+PolicyRates!FE10	4.58475
261	JA	vPWoT_MinBasis	=SUM(HW12:HZ12,IG12:II12,IO12,IQ12,IS12,IV12)	154.75
262	JB	PWoC_MTP	=TRUNC(IU12*IZ12*(1+sTableRatingFactor*vTableCov1),2)	0
263	JC	PWoT_wTable	=TRUNC(IJ12/100*(1+FK12*sTableRatingFactor)/(1-IJ12/100*(1+FK12*sTableRatingFactor)),5)	0
264	JD	PWoT_MTP	=TRUNC(JA12*JC12,2)	0
265	JE	vMonthlyMTP	=TRUNC(JG12/12,2)	12.89
266	JF	vAccumMTP	=IF(vInforceValuationDate,sINPUT_Accum_Min,JE12+JF11)	90.23
267	JG	vMTP	=IF(sINPUT_InforceIndicator="Y", IF(vInforceValuationDate,sINPUT_MonthlyMTP*12, IF(vPolicyChangeIndicator,SUM(HW12:HZ12)+IK12+IM12+IO12+SUM(IG12:II12)+IQ12+IS12+IV12, JG11)), SUM(HW12:HZ12)+IK12+IM12+IO12+SUM(IG12:II12)+IQ12+IS12+ IV12)	154.75
268	JH			
269	JI	Coverage Segments CTP (Original SA) / CTP Rate Cov 1	=PolicyRates!AC10	6.19
270	JJ	CTP Rate Cov 2	=PolicyRates!AD10	0
271	JK	CTP Rate Cov 3	=PolicyRates!AE10	0
